1990,The Secret of Monkey Island,Adventure,LucasArts,PC
1990,Super Mario World,Platform,Nintendo,Super NES
1991,Street Fighter II,Fighting,Capcom,Arcade
1991,The Legend of Zelda: A Link to the Past,Action-adventure,Nintendo,Super NES
1992,Alone in the Dark,Survival horror,Infogrames,PC
1992,Sonic the Hedgehog 2,Platform,Sega,Sega Genesis
1993,SimCity 2000,City-building,Maxis,Mac
1993,Doom,First-person shooter,id Software,PC
1994,X-COM: UFO Defense,Turn-based strategy,MicroProse,PC
1994,Final Fantasy VI,Role-playing,Square,Super NES
1995,Wipeout,Racing,Psygnosis,PlayStation
1995,Command & Conquer,Real-time strategy,Virgin Interactive,PC
1996,Mario Kart64,Kart racing,Nintendo,Nintendo 64
1996,Pokémon Red and Blue,Role-playing,Nintendo,Game Boy
1997,GoldenEye 007,First-person shooter,Nintendo,Nintendo 64
1997,Fallout,Role-playing,Interplay Entertainment,PC
1998,Metal GearSolid,Stealth,Konami,PlayStation
1998,The Legend of Zelda:Ocarina of Time,Action-adventure,Nintendo,Nintendo 64
1999,Silent Hill,Survival horror,Konami,PlayStation
1999,System Shock 2,Action role-playing,Electronic Arts,PC
2000,Marvel vs. Capcom 2:New Age of Heroes,Fighting,Capcom,Arcade
2000,Tony Hawk's Pro Skater 2,Sports,Activision,PlayStation
